hotel_id,name,metaphone,description,address,lat,lng
1,"Mango Suites - Isabela",MNKSTSSBL,"Located in Santiago City, Mango Suites - Isabela offers 2-star accommodations with a terrace. Featuring a garden, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Guests can have a drink at the snack bar.

Rooms contain a safety deposit box, while certain rooms come with a balcony and others also feature city views. The rooms in the hotel are equipped with a flat-screen TV and free toiletries.

Breakfast is available each morning, and includes à la carte, continental and American options.","City Road, Barangay Calao East, Isabela, 3311 Santiago City, Philippines",16.69590716,121.55455934
2,"Mango Suites Cauayan",MNKSTSKYN,"Mango Suites Cauayan is offering accommodations in Cauayan City. Among the facilities of this property are a restaurant, free shuttle service and room service, along with free WiFi throughout the property. Free private parking is available and the hotel also has car rental for guests who want to explore the surrounding area.

At the hotel, rooms have a closet. Complete with a private bathroom equipped with a bidet and free toiletries, all rooms at Mango Suites Cauayan have a flat-screen TV and air conditioning, and some rooms also feature a terrace. At the accommodation the rooms have bed linen and towels.

Breakfast is available each morning, and includes à la carte, Full English/Irish and American options.

Languages spoken at the 24-hour front desk include English and Filipino.","Quezon St. Brgy District 1, 3305 Cauayan City, Philippines",13.93469000,121.94731100
3,"RedDoorz Plus at Holiday Plaza Hotel Tuguegarao City",RTRSPLSTHLTPLSHTLTKKRST,"Operating a 24-hour front desk, Holiday Plaza Hotel offers complimentary 2-way shuttle service to and from Tuguegarao Airport, which is within a 15-minute drive away. Free Wi-Fi access is available in the entire property and parking is provided at no charge.

Fitted with tiled flooring, air-conditioned rooms are furnished with a desk, wardrobe, a flat-screen cable TV and seating area. Shower facility and free toiletries are included in the private bathrooms.

Available round-the-clock, the friendly staff at Holiday Plaza Hotel can assist guests with fax/photocopying, ironing and car rental services. Newspapers are provided, while elevator is available for convenience.

The in-house Max's Restaurant serves tasty Filipino cuisine, while Levie De Caffe offers a selection of local dishes and beverages. Meals can also be served in the privacy of guests’ rooms.

This nonsmoking hotel is about a 30-minute drive to the popular Callao Cave. Our Lady of Piat Church is approximately a 45-minute drive away. Shuttle services can be arranged upon request.","Arellano corner Blumentrit Street, Cagayan, 3500 Tuguegarao City, Philippines",17.61202192,121.72889024
4,"Lugano Bed and Breakfast",LKNBTNTBRKFST,"Lugano Bed and Breakfast offers air-conditioned rooms in Santa Ana. Among the facilities of this property are a restaurant, a 24-hour front desk, and a shared kitchen, along with free Wifi throughout the property. The rooms include a patio.

At the bed and breakfast, the units include a desk. The rooms come with a private bathroom with a bidet, while selected rooms here will provide you with mountain views. At the bed and breakfast, the units come with bed linen and towels.

Breakfast is available every morning, and includes continental, Asian and vegetarian options. There is a coffee shop and lounge.

Guests can also relax in the garden.","San Vicente, Cagayan, 3514 Santa Ana, Philippines",18.50502400,122.15111400
5,"The Hotel Andrea",0HTLNTR,"Located in Cauayan City, The Hotel Andrea offers 3-star accommodations with a garden, a terrace and a bar. This 3-star hotel offers a 24-hour front desk and a concierge service. The hotel features an outdoor swimming pool, fitness center, evening entertainment and room service.

Guest rooms are equipped with air conditioning, a flat-screen TV with cable channels, an electric tea pot, a bidet, free toiletries and a desk. Each room includes a private bathroom with a shower, while selected rooms contain a kitchenette with a fridge. At the hotel all rooms include a shared bathroom and bed linen.

The daily breakfast offers continental, Full English/Irish or American options. At The Hotel Andrea you'll find a restaurant serving American and Chinese cuisine. Vegetarian and dairy-free options can also be requested.

The accommodation offers 3-star accommodations with a hot tub.","Canciller Avenue N/A, 3305 Cauayan City, Philippines",16.93282200,121.77037400
6,"Go Hotels Plus Tuguegarao",KHTLSPLSTKKR,"Go Hotels Plus Tuguegarao is offering accommodations in Tuguegarao City. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout the property.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. At Go Hotels Plus Tuguegarao each room comes with bed linen and towels.

Guests at the accommodation can enjoy an à la carte breakfast.","12 Pan-Philippine Hwy, Tuguegarao 3500 Cagayan, 3500 Tuguegarao City, Philippines",17.62656840,121.73442911
7,"Meaco Hotel - Solano",MKHTLSLN,"Located in Solano, Meaco Hotel - Solano provides air-conditioned rooms with free WiFi. Guests can use a garden.

At the hotel, all rooms have a desk, a flat-screen TV, a private bathroom, bed linen and towels.

Meaco Hotel - Solano can conveniently provide information at the reception to help guests to get around the area.","National Highway, Poblacion South, Nueva Vizcaya, 3709 Solano, Philippines",16.51686600,121.17949500
8,"Lo Tus Garden Hotel",LTSKRTNHTL,"Located in Bonfal Proper, Lo Tus Garden Hotel has a garden, terrace, restaurant, and free WiFi. The property has room service, a 24-hour front desk and luggage storage for guests.

The hotel offers an à la carte or Asian breakfast.","Diversion Road, Brgy. Sta. Rosa, 3700 Bonfal Proper, Philippines",16.49186600,121.16000500
9,"Florabells Iraya Guest House - Batanes",FLRBLSRYKSTHSBTNS,"Located 1.8 miles from Valugan Boulder Beach, Florabells Iraya Guest House - Batanes has accommodations with a shared lounge, a terrace and a shared kitchen for your convenience.

There's a private bathroom with bidet and free toiletries in each unit, along with bathrobes.

À la carte and Asian breakfast options are available each morning at the bed and breakfast.","Castillejos St. Cor. La Fuente St. Basco, Batanes, 3900 Basco, Philippines",20.44907000,121.97032000
10,"Casa De Española Hotel and Resort",KSTSPLHTLNTRSRT,"Casa De Española Hotel and Resort features an outdoor swimming pool, garden, a terrace and restaurant in Aritao. The hotel also provides free WiFi and free private parking.

At the hotel, rooms come with a desk. Complete with a private bathroom equipped with a bidet and free toiletries, all guest rooms at Casa De Española Hotel and Resort have a flat-screen TV and air conditioning, and selected rooms will provide you with a balcony. At the accommodation all rooms have bed linen and towels.

Casa De Española Hotel and Resort offers an à la carte or Asian breakfast.

The hotel can conveniently provide information at the reception to help guests to get around the area.","Purok Rosal, Barangay Tucanon, 3704 Aritao, Philippines",16.29211108,121.05528038
